Item ID,Unit ID,Unit Name,Tier,Question Type,Stem in Khmer,Option A,Option B,Option C,Option D,Numeric Entry Format,Correct Answer,What Each Wrong Option Catches,Textbook/Unit Reference
SKU-08,U3,ការចុះខ្សោយអព្យាក្រឹតភាព និងការឡើងកាន់អំណាច,Easy,MCQ-4,តាមអត្ថបទ ជំនួយសហរដ្ឋអាមេរិកភាគច្រើនត្រូវបានប្រើប្រាស់ទៅលើវិស័យណា?,វិស័យយោធា,វិស័យអប់រំ,វិស័យសុខាភិបាល,វិស័យកសិកម្ម,,A,"B, C, D substitute other genuine development sectors mentioned elsewhere in the chapter's achievements section, but not the one the aid mainly funded.",Unit 3
SKU-09,U3,ការចុះខ្សោយអព្យាក្រឹតភាព និងការឡើងកាន់អំណាច,Medium,MCQ-4,ហេតុអ្វីបានជាជំនួយសហរដ្ឋអាមេរិក ជាជាងជួយពង្រឹងអំណាចសម្ដេចសីហនុ បែរជាបង្កើនការប្រឆាំងនឹងព្រះអង្គវិញ?,ដោយសារជំនួយនោះមានចំនួនតិចតួចពេក,ដោយសារជំនួយនោះមានទិសដៅចិញ្ចឹមពួកស្ដាំនិយម ហើយភាគច្រើនធ្លាក់ក្នុងដៃអ្នកមានអំណាចពុករលួយ ដែលប្រើវាប្រឆាំងព្រះអង្គ,ដោយសារជំនួយនោះមកជាមួយលក្ខខណ្ឌប្ដូរសាសនា,ដោយសារកម្ពុជាបដិសេធជំនួយទាំងស្រុង,,B,"A, D, C are unsupported inventions; requires grasping the paradox of aid that undermines rather than supports.",Unit 3
SKU-10,U3,ការចុះខ្សោយអព្យាក្រឹតភាព និងការឡើងកាន់អំណាច,Medium,MCQ-4,តើមាត្រា១២២ថ្មីនៃរដ្ឋធម្មនុញ្ញ (ដែលកើតឡើងថ្ងៃទី១៤ មិថុនា ១៩៦០) អនុញ្ញាតឱ្យធ្វើអ្វី ខណៈគ្មានព្រះមហាក្សត្រថ្មី និងក្រុមប្រឹក្សារាជានុសិទ្ធិត្រូវរំសាយ?,ឱ្យអង្គការសហប្រជាជាតិតែងតាំងអ្នកគ្រប់គ្រងបណ្ដោះអាសន្ន,ឱ្យប្រជាជនបោះឆ្នោតជ្រើសរើសប្រធានាធិបតីផ្ទាល់,ឱ្យសភាទាំងពីររួមគ្នាប្រជុំ ហើយប្រគល់អំណាចប្រមុខរដ្ឋទៅឱ្យឥស្សរជនម្នាក់ដែលប្រជាពលរដ្ឋទុកចិត្ត,ឱ្យក្រុមប្រឹក្សារាជសម្បត្តិសម្រេចដោយខ្លួនឯង,,C,"B, D, A are plausible generic mechanisms a student might guess without having read closely. Only C reflects the specific constitutional workaround the chapter describes.",Unit 3
SKU-11,U3,ការចុះខ្សោយអព្យាក្រឹតភាព និងការឡើងកាន់អំណាច,Hard,MCQ-4,ការចុះខ្សោយនៃនយោបាយអព្យាក្រឹត និងការឡើងកាន់អំណាចជាប្រមុខរដ្ឋរបស់សម្ដេចសីហនុ (ទាំងពីរកើតឡើងក្នុងអំឡុងឆ្នាំដូចគ្នា ១៩៦០) អាចមើលឃើញថាមានទំនាក់ទំនងគ្នាតាមរបៀបណា?,ការចុះខ្សោយអព្យាក្រឹតភាពបានកើតឡើងបន្ទាប់ពីសម្ដេចលាលែងអំណាចទាំងស្រុង,ព្រឹត្តិការណ៍ទាំងពីរគ្មានទំនាក់ទំនងគ្នាទាល់តែសោះ ជាការចៃដន្យតែប៉ុណ្ណោះ,ការឡើងកាន់អំណាចរបស់សម្ដេច ជាមូលហេតុផ្ទាល់នៃការចុះខ្សោយអព្យាក្រឹតភាព,ទាំងពីរឆ្លុះបញ្ចាំងពីការឆ្លើយតបចំពោះភាពមិនស្ថិតស្ថេរនយោបាយ៖ ការគំរាមកំហែងខាងក្រៅជំរុញឱ្យសម្ដេចបង្រួបបង្រួមអំណាចខាងក្នុងកាន់តែច្រើន,,D,"Cut-test: C claims false direct causation; B dismisses a meaningful pattern as coincidence — tempting for a memorizer who sees them as unrelated chapter sections; A contradicts the text (Sihanouk gained more power, not less). Requires holistic understanding of the 1960 political context.",Unit 3
SKU-24,U3,ការចុះខ្សោយអព្យាក្រឹតភាព និងការឡើងកាន់អំណាច,Easy,MCQ-4,ក្នុងប្រជាមតិខែមិថុនា ១៩៦០ សន្លឹកឆ្នោតពណ៌ក្រហមមានន័យអ្វី?,គាំទ្រកម្មវិធីសង្គមរាស្ត្រនិយម,គាំទ្រដល់ទស្សនៈ 'ក្រុមប្រជាជន',មិនចូលរួមបោះឆ្នោត,គាំទ្រ 'ខ្មែរសេរី',,B,"A is the meaning of the Sihanouk-photo ballot; D is the meaning of the Sam Sary-image ballot — both real from the same referendum, wrong ballot type.",Unit 3
SKU-25,U3,ការចុះខ្សោយអព្យាក្រឹតភាព និងការឡើងកាន់អំណាច,Medium,MCQ-4,ក្រោយសម្ដេចសីហនុចូលកាន់តំណែងជាព្រះប្រមុខរដ្ឋ ថ្ងៃទី២០ មិថុនា ១៩៦០ តើនរណាបានគង់ជានិមិត្តរូបនៃព្រះរាជបល្ល័ង្ក?,លោក ជួប ហ៊ែល,ទ្រង់ស៊ីសុវត្ថិ មុនីរ៉េត,ព្រះមហាក្សត្រិយានី កុសមៈនារីរតន៍ (ព្រះមាតា),គ្មាននរណាម្នាក់ ព្រះរាជបល្ល័ង្កទំនេរទាំងស្រុង,,C,"B, A are real names from the Regency Council context but held different roles; D contradicts the text's statement that the monarchy institution was maintained.",Unit 3
SKU-12,U4,សមិទ្ធផលសេដ្ឋកិច្ច,Easy,Numeric entry,តាមតារាងក្នុងអត្ថបទ ផលស្រូវឆ្នាំ១៩៦៨ ទទួលបានប៉ុន្មានតោន?,,,,,integer (tons),3250000,"Confusing with the 1955 figure (1,484,000 tons) if the year in the stem isn't read carefully.",Unit 4
SKU-13,U4,សមិទ្ធផលសេដ្ឋកិច្ច,Easy,MCQ-4,ក្រុមហ៊ុន 'សូណិចស៊ីម' ដែលបង្កើតឡើងឆ្នាំ១៩៦៣ មានប្រភពមូលនិធិយ៉ាងដូចម្ដេច?,៥០%-៥០%រវាងរដ្ឋ និងបារាំង,១០០%រដ្ឋ,៤០%រដ្ឋ ៦០%ឯកជនបរទេស,៦០%រដ្ឋ ៤០%ពាណិជ្ជករខ្មែរ,,D,"B, A, C each alter either the split ratio or the counterparty, testing precise recall of a specific figure.",Unit 4
SKU-14,U4,សមិទ្ធផលសេដ្ឋកិច្ច,Medium,Numeric entry,"ផ្លូវរថភ្លើងខ្សែទី២ (១៩៦០, ២៧០គីឡូម៉ែត្រ) វែងជាងផ្លូវជាតិលេខ៤ (១៩៥៦, ២២៦គីឡូម៉ែត្រ) ប៉ុន្មានគីឡូម៉ែត្រ?",,,,,integer (km),44,Entering either raw distance instead of the computed difference shows the two facts weren't actually connected.,Unit 4
SKU-26,U4,សមិទ្ធផលសេដ្ឋកិច្ច,Medium,MCQ-4,ក្រុមហ៊ុន 'សូរ៉ាប៉ា' និង 'សូណាព្រឹម' ដែលបង្កើតឡើងឆ្នាំ១៩៦៤ មានតួនាទីអ្វីទាក់ទងនឹងក្រុមហ៊ុន 'សូណិចស៊ីម'?,ជាសាខារបស់ក្រុមហ៊ុនអេសូ,ជាគូប្រកួតប្រជែងផ្ទាល់នឹងសូណិចស៊ីម,ជាធនាគារកណ្ដាលកម្ពុជា,បម្រើឱ្យសូណិចស៊ីម (ជាដៃគូគាំទ្រការទិញផលិតផលកសិកម្ម និងចែកចាយទំនិញនាំចូល),,D,"B, A, C misidentify the relationship — plausible but contradicting the text's description of a subordinate, supporting role.",Unit 4
SKU-27,U4,សមិទ្ធផលសេដ្ឋកិច្ច,Medium,MCQ-4,ក្នុងផលកប្បាសសរុប៥.០០០តោនក្នុងឆ្នាំ១៩៦៤ (២.០០០តោនបម្រើរោងចក្រក្នុងស្រុក ៣.០០០តោននាំចេញ) តើសមាមាត្រណាមួយត្រឹមត្រូវ?,គ្មាននាំចេញទាល់តែសោះ គ្រប់គ្រាន់តែសម្រាប់ក្នុងស្រុក,ភាគច្រើនប្រើប្រាស់ក្នុងស្រុក ច្រើនជាងនាំចេញ,ចំនួនស្មើគ្នារវាងក្នុងស្រុក និងនាំចេញ,ភាគច្រើននៃផលកប្បាសត្រូវបាននាំចេញ (៣.០០០ក្នុងចំណោម៥.០០០) ច្រើនជាងចំនួនប្រើប្រាស់ក្នុងស្រុក,,D,"B, C, A misread the two figures given in the text; requires comparing 3,000 against 2,000 correctly, not just recalling both numbers exist.",Unit 4
SKU-28,U4,សមិទ្ធផលសេដ្ឋកិច្ច,Hard,MCQ-4,ដល់ឆ្នាំ១៩៦២ មូលធនបារាំងនៅតែកាន់កាប់សកម្មភាពនាំចេញកម្ពុជា ១/៣ ថ្វីត្បិតតែកម្ពុជាទទួលបានឯករាជ្យនយោបាយតាំងពីឆ្នាំ១៩៥៣ក៏ដោយ។ តើការនេះបញ្ជាក់ពីអ្វី?,ទិន្នន័យនេះមិនទាក់ទងអ្វីនឹងឯករាជ្យភាពទេ,បារាំងនៅតែជាអាណានិគមផ្ទាល់លើកម្ពុជារហូតដល់ឆ្នាំ១៩៦២,ឯករាជ្យនយោបាយពេញលេញ មិនស្មើនឹងឯករាជ្យសេដ្ឋកិច្ចពេញលេញភ្លាមៗនោះទេ ជាហេតុផលមួយដែលរាជរដ្ឋាភិបាលចាំបាច់ត្រូវបង្កើតក្រុមហ៊ុនរដ្ឋខ្លួនឯង (សូណិចស៊ីម ។ល។) បន្តិចម្ដងៗ,កម្ពុជាមិនដែលមានឯករាជ្យផ្នែកសេដ្ឋកិច្ចទាល់តែសោះ,,C,"Cut-test: B contradicts the established 1953 independence timeline — a memorizer might conflate lingering foreign economic dominance with continued colonial status; D overstates as absolute/permanent; A dismisses a meaningful connection. Requires distinguishing political vs. economic sovereignty as separate, gradually-achieved dimensions.",Unit 4
SKU-15,U5,សមិទ្ធផលវប្បធម៌ និងសង្គមកិច្ច,Easy,MCQ-4,នៅឆ្នាំ១៩៦១ ស្ត្រីខ្មែរទទួលបានសិទ្ធិអ្វីថ្មី?,សិទ្ធិឈរឈ្មោះបោះឆ្នោត និងសិទ្ធិបោះឆ្នោត,សិទ្ធិចូលបម្រើក្នុងកងទ័ព,សិទ្ធិកាន់តំណែងជាមេដឹកនាំគណបក្ស,សិទ្ធិទទួលមរតកស្មើគ្នា,,A,"C, B, D name other plausible rights not stated in this chapter — testing precise recall of what was actually granted.",Unit 5
SKU-16,U5,សមិទ្ធផលវប្បធម៌ និងសង្គមកិច្ច,Medium,MCQ-4,អាស្រ័យតារាងគ្រូបង្រៀន (១៩៥៥ធៀបនឹង១៩៦៨) តើក្រុមគ្រូមួយណាមានការកើនឡើងជាសមាមាត្រខ្លាំងជាងគេ?,គ្រូបឋមសិក្សាកើនលឿនជាង,គ្រូមធ្យមសិក្សា (កើនពី៣៧នាក់ដល់ជាង៥.០០០នាក់ ប្រមាណ១៣៥ដង) ជាងគ្រូបឋមសិក្សា (កើនប្រមាណ៥ដង),ទាំងពីរកើនស្មើគ្នា,គ្រូមធ្យមសិក្សាមានការថយចុះ,,B,"A, C, D require no actual computation and are wrong on inspection; the item requires computing and comparing two growth ratios from the table.",Unit 5
SKU-17,U5,សមិទ្ធផលវប្បធម៌ និងសង្គមកិច្ច,Medium,MCQ-4,ការបង្កើតគ្រឹះស្ថានអប់រំពុទ្ធិកចាប់ពីបឋមសិក្សារហូតដល់មហាវិទ្យាល័យ ឆ្លុះបញ្ចាំងពីទំនាក់ទំនងបែបណារវាងរបបសង្គមរាស្ត្រនិយម និងសាសនា?,របបនេះមិនអើពើនឹងសាសនាទាំងស្រុង,របបនេះបានផ្សំបញ្ចូលការអភិវឌ្ឍន៍ព្រះពុទ្ធសាសនាចូលទៅក្នុងគោលនយោបាយអប់រំជាតិទូទៅ មិនមែនញែកដាច់ដោយឡែក,របបនេះកំណត់ឱ្យសាសនាដាច់ស្រយាលពីការអប់រំរដ្ឋ,របបនេះលុបចោលការសិក្សាព្រះពុទ្ធសាសនា,,B,"A, C, D directly contradict the text's account of Buddhist education being actively built up alongside general education.",Unit 5
SKU-18,U5,សមិទ្ធផលវប្បធម៌ និងសង្គមកិច្ច,Hard,MCQ-4,សមិទ្ធផលនានារបស់របបសង្គមរាស្ត្រនិយម (សេដ្ឋកិច្ច វប្បធម៌ សង្គមកិច្ច) ត្រូវបានអត្ថបទផ្សារភ្ជាប់ជាមួយគោលការណ៍រួមណាមួយ?,ជាការសម្ដែងចេញនូវគោលការណ៍លទ្ធិប្រជាធិបតេយ្យដែលរបបសង្គមរាស្ត្រនិយមប្រកាន់យក,ជាលក្ខខណ្ឌដែលអង្គការសហប្រជាជាតិដាក់ចេញ,ជាការសងជំពាក់ជំនួយពីសហរដ្ឋអាមេរិក,ជាការត្រៀមរៀបចំសម្រាប់សង្គ្រាមស៊ីវិល,,A,"Cut-test: D, B, C invent unrelated framings; a memorizer citing individual achievement facts (a school here, a hospital there) without connecting them to the stated unifying democratic principle would miss that the text explicitly ties them together.",Unit 5
SKU-29,U5,សមិទ្ធផលវប្បធម៌ និងសង្គមកិច្ច,Easy,MCQ-4,ក្នុងឆ្នាំ១៩៦១ ក្រៅពីសិទ្ធិបោះឆ្នោតរបស់ស្ត្រី តើមានការបង្កើតអ្វីមួយទៀតនៅទួលគោក?,មជ្ឈមណ្ឌលអប់រំស្ត្រី,រោងចក្រកាត់ដេរ,មន្ទីរពេទ្យកុមារ,សាកលវិទ្យាល័យស្ត្រី,,A,"D, B, C invent or misplace institutions not stated for this location/year.",Unit 5
SKU-30,U5,សមិទ្ធផលវប្បធម៌ និងសង្គមកិច្ច,Medium,MCQ-4,ចំនួនសាស្ត្រាចារ្យឧត្តមសិក្សាដែលកើនឡើងដល់ ១.៩៣៥ នាក់ មានទំនាក់ទំនងផ្ទាល់ជាមួយព្រឹត្តិការណ៍ណាមួយ?,ការបង្កើតពហុកីឡដ្ឋានជាតិអូឡាំពិកឆ្នាំ១៩៦៤,ការបង្កើតសកលវិទ្យាល័យភូមិន្ទភ្នំពេញ និងមហាវិទ្យាល័យនានាក្នុងឆ្នាំ១៩៦០,ការបង្កើតមជ្ឈមណ្ឌលអប់រំស្ត្រីឆ្នាំ១៩៦១,ការចុះហត្ថលេខាសន្ធិសញ្ញាសឺណែវឆ្នាំ១៩៥៤,,B,"A, C, D are real events from the same chapter but unrelated to university faculty growth.",Unit 5
